"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1490","renamePlaylistFlow","TestNG","Tue Feb 17 21:10:56 UTC 2026","passed","Tue Feb 17 21:10:57 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","renamePlaylistFlow"
"","1538","User should be able to log out after updating email and password","TestNG","Tue Feb 17 21:10:50 UTC 2026","passed","Tue Feb 17 21:10:52 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","10569","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Tue Feb 17 21:10:37 UTC 2026","passed","Tue Feb 17 21:10:48 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","1868","Database-Driven Testing Dinámico","TestNG","Tue Feb 17 21:10:53 UTC 2026","passed","Tue Feb 17 21:10:55 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyArtistNameFromDatabase"
"","570","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Tue Feb 17 21:10:49 UTC 2026","passed","Tue Feb 17 21:10:49 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","306","loginValidationMessages","TestNG","Tue Feb 17 21:10:35 UTC 2026","passed","Tue Feb 17 21:10:35 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","315","loginValidationMessages","TestNG","Tue Feb 17 21:10:33 UTC 2026","passed","Tue Feb 17 21:10:34 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","446","INTERNSHIP-108252 Koel app | Log in","TestNG","Tue Feb 17 21:10:32 UTC 2026","passed","Tue Feb 17 21:10:32 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","3239","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Tue Feb 17 21:10:28 UTC 2026","passed","Tue Feb 17 21:10:31 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","308","loginWithDeepLink","TestNG","Tue Feb 17 21:10:36 UTC 2026","passed","Tue Feb 17 21:10:36 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
