"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3430","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Fri Feb 13 19:52:49 UTC 2026","passed","Fri Feb 13 19:52:52 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","488","INTERNSHIP-108252 Koel app | Log in","TestNG","Fri Feb 13 19:52:53 UTC 2026","passed","Fri Feb 13 19:52:54 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","305","loginWithDeepLink","TestNG","Fri Feb 13 19:52:57 UTC 2026","passed","Fri Feb 13 19:52:57 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","560","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Fri Feb 13 19:53:09 UTC 2026","passed","Fri Feb 13 19:53:10 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","297","loginValidationMessages","TestNG","Fri Feb 13 19:52:56 UTC 2026","passed","Fri Feb 13 19:52:56 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","10541","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Fri Feb 13 19:52:58 UTC 2026","passed","Fri Feb 13 19:53:08 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","1493","User should be able to log out after updating email and password","TestNG","Fri Feb 13 19:53:10 UTC 2026","passed","Fri Feb 13 19:53:12 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","335","loginValidationMessages","TestNG","Fri Feb 13 19:52:54 UTC 2026","passed","Fri Feb 13 19:52:55 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
