"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","315","loginValidationMessages","TestNG","Wed Feb 18 19:31:25 UTC 2026","passed","Wed Feb 18 19:31:25 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","304","loginValidationMessages","TestNG","Wed Feb 18 19:31:26 UTC 2026","passed","Wed Feb 18 19:31:27 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","455","INTERNSHIP-108252 Koel app | Log in","TestNG","Wed Feb 18 19:31:23 UTC 2026","passed","Wed Feb 18 19:31:24 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","1567","User should be able to log out after updating email and password","TestNG","Wed Feb 18 19:31:42 UTC 2026","broken","Wed Feb 18 19:31:44 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","2657","Database-Driven Testing Dinámico","TestNG","Wed Feb 18 19:31:45 UTC 2026","passed","Wed Feb 18 19:31:48 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyArtistNameFromDatabase"
"","1592","renamePlaylistFlow","TestNG","Wed Feb 18 19:31:49 UTC 2026","passed","Wed Feb 18 19:31:50 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","renamePlaylistFlow"
"","10556","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Wed Feb 18 19:31:29 UTC 2026","passed","Wed Feb 18 19:31:40 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","572","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Wed Feb 18 19:31:41 UTC 2026","passed","Wed Feb 18 19:31:41 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","315","loginWithDeepLink","TestNG","Wed Feb 18 19:31:28 UTC 2026","passed","Wed Feb 18 19:31:28 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","3284","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Wed Feb 18 19:31:19 UTC 2026","passed","Wed Feb 18 19:31:22 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
