"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","484","INTERNSHIP-108252 Koel app | Log in","TestNG","Fri Feb 13 18:03:47 UTC 2026","passed","Fri Feb 13 18:03:48 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","317","loginValidationMessages","TestNG","Fri Feb 13 18:03:49 UTC 2026","passed","Fri Feb 13 18:03:49 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","581","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Fri Feb 13 18:04:04 UTC 2026","passed","Fri Feb 13 18:04:05 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","3098","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Fri Feb 13 18:03:43 UTC 2026","passed","Fri Feb 13 18:03:46 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","1579","User should be able to log out after updating email and password","TestNG","Fri Feb 13 18:04:06 UTC 2026","passed","Fri Feb 13 18:04:08 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","273","loginValidationMessages","TestNG","Fri Feb 13 18:03:50 UTC 2026","passed","Fri Feb 13 18:03:50 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","10527","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Fri Feb 13 18:03:53 UTC 2026","passed","Fri Feb 13 18:04:03 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","307","loginWithDeepLink","TestNG","Fri Feb 13 18:03:51 UTC 2026","passed","Fri Feb 13 18:03:52 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
