"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","318","loginValidationMessages","TestNG","Thu Feb 12 20:29:19 UTC 2026","passed","Thu Feb 12 20:29:20 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","488","INTERNSHIP-108252 Koel app | Log in","TestNG","Thu Feb 12 20:29:18 UTC 2026","passed","Thu Feb 12 20:29:18 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","1555","User should be able to log out after updating email and password","TestNG","Thu Feb 12 20:29:37 UTC 2026","broken","Thu Feb 12 20:29:38 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","10549","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Thu Feb 12 20:29:24 UTC 2026","passed","Thu Feb 12 20:29:34 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","297","loginWithDeepLink","TestNG","Thu Feb 12 20:29:22 UTC 2026","passed","Thu Feb 12 20:29:23 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","282","loginValidationMessages","TestNG","Thu Feb 12 20:29:21 UTC 2026","passed","Thu Feb 12 20:29:21 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","3062","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Thu Feb 12 20:29:14 UTC 2026","passed","Thu Feb 12 20:29:17 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","550","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Thu Feb 12 20:29:35 UTC 2026","passed","Thu Feb 12 20:29:36 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
