"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","loginValidationMessages","Suite Optimizada","Thu Feb 19 20:44:37 UTC 2026","skipped","Thu Feb 19 20:44:37 UTC 2026","LoginTests","Java Selenium test case","LoginTests","loginValidationMessages"
"","0","INTERNSHIP-108252 Koel app | Log in","Suite Optimizada","Thu Feb 19 20:44:37 UTC 2026","skipped","Thu Feb 19 20:44:37 UTC 2026","LoginTests","Java Selenium test case","LoginTests","loginwithcorrectPasswordTest"
"","1","User should be able to log out after updating email and password","Suite Optimizada","Thu Feb 19 20:44:37 UTC 2026","skipped","Thu Feb 19 20:44:37 UTC 2026","LoginTests","Java Selenium test case","LoginTests","updateProfile"
"","1","setup","Suite Optimizada","Thu Feb 19 20:44:37 UTC 2026","broken","Thu Feb 19 20:44:37 UTC 2026","LoginTests","Java Selenium test case","LoginTests","setup"
"","0","Log student out’ button should be present on the homepage, next to ‘Profile’ button","Suite Optimizada","Thu Feb 19 20:44:37 UTC 2026","skipped","Thu Feb 19 20:44:37 UTC 2026","LoginTests","Java Selenium test case","LoginTests","logoutUIVerificationTest"
"","1","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","Suite Optimizada","Thu Feb 19 20:44:37 UTC 2026","skipped","Thu Feb 19 20:44:37 UTC 2026","LoginTests","Java Selenium test case","LoginTests","verifyInfoPanelAndNavigation"
"","1","loginWithDeepLink","Suite Optimizada","Thu Feb 19 20:44:37 UTC 2026","skipped","Thu Feb 19 20:44:37 UTC 2026","LoginTests","Java Selenium test case","LoginTests","loginWithDeepLink"
"","0","loginValidationMessages","Suite Optimizada","Thu Feb 19 20:44:37 UTC 2026","skipped","Thu Feb 19 20:44:37 UTC 2026","LoginTests","Java Selenium test case","LoginTests","loginValidationMessages"
"","0","Database-Driven Testing Dinámico","Suite Optimizada","Thu Feb 19 20:44:37 UTC 2026","skipped","Thu Feb 19 20:44:37 UTC 2026","LoginTests","Java Selenium test case","LoginTests","verifyArtistNameFromDatabase"
"","1","renamePlaylistFlow","Suite Optimizada","Thu Feb 19 20:44:37 UTC 2026","skipped","Thu Feb 19 20:44:37 UTC 2026","LoginTests","Java Selenium test case","LoginTests","renamePlaylistFlow"
"","0","User should be able to log out after successful login, User should be navigated to the Login page after logging out","Suite Optimizada","Thu Feb 19 20:44:37 UTC 2026","skipped","Thu Feb 19 20:44:37 UTC 2026","LoginTests","Java Selenium test case","LoginTests","logoutAfterUpdateTest"
