"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","314","loginValidationMessages","TestNG","Thu Feb 12 20:30:02 UTC 2026","passed","Thu Feb 12 20:30:02 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","279","loginValidationMessages","TestNG","Thu Feb 12 20:30:03 UTC 2026","passed","Thu Feb 12 20:30:04 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","616","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Thu Feb 12 20:30:17 UTC 2026","passed","Thu Feb 12 20:30:18 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","3018","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Thu Feb 12 20:29:56 UTC 2026","passed","Thu Feb 12 20:29:59 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","294","loginWithDeepLink","TestNG","Thu Feb 12 20:30:05 UTC 2026","passed","Thu Feb 12 20:30:05 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","438","INTERNSHIP-108252 Koel app | Log in","TestNG","Thu Feb 12 20:30:00 UTC 2026","passed","Thu Feb 12 20:30:01 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","10524","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Thu Feb 12 20:30:06 UTC 2026","passed","Thu Feb 12 20:30:16 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","1458","User should be able to log out after updating email and password","TestNG","Thu Feb 12 20:30:19 UTC 2026","passed","Thu Feb 12 20:30:20 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
