"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","520","INTERNSHIP-108252 Koel app | Log in","TestNG","Tue Feb 17 21:05:35 UTC 2026","passed","Tue Feb 17 21:05:36 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","525","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Tue Feb 17 21:05:52 UTC 2026","passed","Tue Feb 17 21:05:52 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","1597","Database-Driven Testing Dinámico","TestNG","Tue Feb 17 21:05:55 UTC 2026","passed","Tue Feb 17 21:05:57 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyArtistNameFromDatabase"
"","312","loginValidationMessages","TestNG","Tue Feb 17 21:05:37 UTC 2026","passed","Tue Feb 17 21:05:37 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","1329","renamePlaylistFlow","TestNG","Tue Feb 17 21:05:58 UTC 2026","passed","Tue Feb 17 21:05:59 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","renamePlaylistFlow"
"","1494","User should be able to log out after updating email and password","TestNG","Tue Feb 17 21:05:53 UTC 2026","passed","Tue Feb 17 21:05:55 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","311","loginWithDeepLink","TestNG","Tue Feb 17 21:05:39 UTC 2026","passed","Tue Feb 17 21:05:39 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","286","loginValidationMessages","TestNG","Tue Feb 17 21:05:38 UTC 2026","passed","Tue Feb 17 21:05:38 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","10509","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Tue Feb 17 21:05:40 UTC 2026","passed","Tue Feb 17 21:05:51 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","3212","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Tue Feb 17 21:05:31 UTC 2026","passed","Tue Feb 17 21:05:35 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
