"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","534","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Fri Feb 13 19:49:54 UTC 2026","passed","Fri Feb 13 19:49:55 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","10513","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Fri Feb 13 19:49:43 UTC 2026","passed","Fri Feb 13 19:49:53 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","517","INTERNSHIP-108252 Koel app | Log in","TestNG","Fri Feb 13 19:49:37 UTC 2026","passed","Fri Feb 13 19:49:38 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","320","loginValidationMessages","TestNG","Fri Feb 13 19:49:39 UTC 2026","passed","Fri Feb 13 19:49:39 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","288","loginValidationMessages","TestNG","Fri Feb 13 19:49:40 UTC 2026","passed","Fri Feb 13 19:49:40 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","1582","User should be able to log out after updating email and password","TestNG","Fri Feb 13 19:49:56 UTC 2026","passed","Fri Feb 13 19:49:57 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","308","loginWithDeepLink","TestNG","Fri Feb 13 19:49:41 UTC 2026","passed","Fri Feb 13 19:49:42 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","3304","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Fri Feb 13 19:49:33 UTC 2026","passed","Fri Feb 13 19:49:36 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
