"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","loginValidationMessages","TestNG","Fri Feb 13 20:02:25 UTC 2026","passed","Fri Feb 13 20:02:26 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","10494","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Fri Feb 13 20:02:27 UTC 2026","passed","Fri Feb 13 20:02:38 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","1449","User should be able to log out after updating email and password","TestNG","Fri Feb 13 20:02:40 UTC 2026","passed","Fri Feb 13 20:02:41 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","2917","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Fri Feb 13 20:02:19 UTC 2026","passed","Fri Feb 13 20:02:22 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","629","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Fri Feb 13 20:02:38 UTC 2026","passed","Fri Feb 13 20:02:39 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","326","loginValidationMessages","TestNG","Fri Feb 13 20:02:24 UTC 2026","passed","Fri Feb 13 20:02:25 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","477","INTERNSHIP-108252 Koel app | Log in","TestNG","Fri Feb 13 20:02:23 UTC 2026","passed","Fri Feb 13 20:02:23 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","304","loginWithDeepLink","TestNG","Fri Feb 13 20:02:26 UTC 2026","passed","Fri Feb 13 20:02:27 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
