"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10530","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Tue Feb 17 01:42:40 UTC 2026","passed","Tue Feb 17 01:42:50 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","295","loginWithDeepLink","TestNG","Tue Feb 17 01:42:39 UTC 2026","passed","Tue Feb 17 01:42:39 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","306","loginValidationMessages","TestNG","Tue Feb 17 01:42:36 UTC 2026","passed","Tue Feb 17 01:42:37 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","1223","renamePlaylistFlow","TestNG","Tue Feb 17 01:42:57 UTC 2026","passed","Tue Feb 17 01:42:58 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","renamePlaylistFlow"
"","293","loginValidationMessages","TestNG","Tue Feb 17 01:42:37 UTC 2026","passed","Tue Feb 17 01:42:38 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","1554","Database-Driven Testing Dinámico","TestNG","Tue Feb 17 01:42:54 UTC 2026","passed","Tue Feb 17 01:42:56 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyArtistNameFromDatabase"
"","3337","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Tue Feb 17 01:42:31 UTC 2026","passed","Tue Feb 17 01:42:34 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","1397","User should be able to log out after updating email and password","TestNG","Tue Feb 17 01:42:52 UTC 2026","passed","Tue Feb 17 01:42:54 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","531","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Tue Feb 17 01:42:51 UTC 2026","passed","Tue Feb 17 01:42:51 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","435","INTERNSHIP-108252 Koel app | Log in","TestNG","Tue Feb 17 01:42:35 UTC 2026","passed","Tue Feb 17 01:42:36 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
