"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3096","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Thu Feb 19 20:25:21 UTC 2026","passed","Thu Feb 19 20:25:24 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","1249","renamePlaylistFlow","TestNG","Thu Feb 19 20:25:46 UTC 2026","passed","Thu Feb 19 20:25:47 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","renamePlaylistFlow"
"","287","loginValidationMessages","TestNG","Thu Feb 19 20:25:27 UTC 2026","passed","Thu Feb 19 20:25:27 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","405","INTERNSHIP-108252 Koel app | Log in","TestNG","Thu Feb 19 20:25:25 UTC 2026","passed","Thu Feb 19 20:25:25 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","302","loginWithDeepLink","TestNG","Thu Feb 19 20:25:28 UTC 2026","passed","Thu Feb 19 20:25:28 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","1366","User should be able to log out after updating email and password","TestNG","Thu Feb 19 20:25:42 UTC 2026","passed","Thu Feb 19 20:25:43 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","10526","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Thu Feb 19 20:25:29 UTC 2026","passed","Thu Feb 19 20:25:40 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","304","loginValidationMessages","TestNG","Thu Feb 19 20:25:26 UTC 2026","passed","Thu Feb 19 20:25:26 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","1549","Database-Driven Testing Dinámico","TestNG","Thu Feb 19 20:25:44 UTC 2026","passed","Thu Feb 19 20:25:45 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyArtistNameFromDatabase"
"","516","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Thu Feb 19 20:25:41 UTC 2026","passed","Thu Feb 19 20:25:41 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
