"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","loginValidationMessages","TestNG","Tue Feb 17 21:21:51 UTC 2026","passed","Tue Feb 17 21:21:52 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","10534","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Tue Feb 17 21:21:54 UTC 2026","passed","Tue Feb 17 21:22:04 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","3211","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Tue Feb 17 21:21:44 UTC 2026","passed","Tue Feb 17 21:21:47 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","1458","renamePlaylistFlow","TestNG","Tue Feb 17 21:22:12 UTC 2026","passed","Tue Feb 17 21:22:13 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","renamePlaylistFlow"
"","1658","Database-Driven Testing Dinámico","TestNG","Tue Feb 17 21:22:09 UTC 2026","passed","Tue Feb 17 21:22:11 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyArtistNameFromDatabase"
"","560","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Tue Feb 17 21:22:05 UTC 2026","passed","Tue Feb 17 21:22:06 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","463","INTERNSHIP-108252 Koel app | Log in","TestNG","Tue Feb 17 21:21:48 UTC 2026","passed","Tue Feb 17 21:21:49 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","309","loginValidationMessages","TestNG","Tue Feb 17 21:21:50 UTC 2026","passed","Tue Feb 17 21:21:50 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","304","loginWithDeepLink","TestNG","Tue Feb 17 21:21:53 UTC 2026","passed","Tue Feb 17 21:21:53 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","1498","User should be able to log out after updating email and password","TestNG","Tue Feb 17 21:22:07 UTC 2026","passed","Tue Feb 17 21:22:08 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
