"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10593","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Tue Feb 17 20:54:33 UTC 2026","passed","Tue Feb 17 20:54:43 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","577","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Tue Feb 17 20:54:44 UTC 2026","passed","Tue Feb 17 20:54:45 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","1777","Database-Driven Testing Dinámico","TestNG","Tue Feb 17 20:54:48 UTC 2026","passed","Tue Feb 17 20:54:50 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyArtistNameFromDatabase"
"","327","loginValidationMessages","TestNG","Tue Feb 17 20:54:29 UTC 2026","passed","Tue Feb 17 20:54:29 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","316","loginWithDeepLink","TestNG","Tue Feb 17 20:54:31 UTC 2026","passed","Tue Feb 17 20:54:32 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","1539","User should be able to log out after updating email and password","TestNG","Tue Feb 17 20:54:46 UTC 2026","passed","Tue Feb 17 20:54:47 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","304","loginValidationMessages","TestNG","Tue Feb 17 20:54:30 UTC 2026","passed","Tue Feb 17 20:54:30 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","3262","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Tue Feb 17 20:54:23 UTC 2026","passed","Tue Feb 17 20:54:26 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","1500","renamePlaylistFlow","TestNG","Tue Feb 17 20:54:51 UTC 2026","passed","Tue Feb 17 20:54:53 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","renamePlaylistFlow"
"","441","INTERNSHIP-108252 Koel app | Log in","TestNG","Tue Feb 17 20:54:27 UTC 2026","passed","Tue Feb 17 20:54:28 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
