"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","User should be able to log out after successful login, User should be navigated to the Login page after logging out","Suite Optimizada","Thu Feb 19 22:00:38 UTC 2026","skipped","Thu Feb 19 22:00:38 UTC 2026","LoginTests","Java Selenium test case","LoginTests","logoutAfterUpdateTest"
"","2","setUp","Suite Optimizada","Thu Feb 19 22:00:38 UTC 2026","broken","Thu Feb 19 22:00:38 UTC 2026","LoginTests","Java Selenium test case","LoginTests","setUp"
"","1","Log student out’ button should be present on the homepage, next to ‘Profile’ button","Suite Optimizada","Thu Feb 19 22:00:38 UTC 2026","skipped","Thu Feb 19 22:00:38 UTC 2026","LoginTests","Java Selenium test case","LoginTests","logoutUIVerificationTest"
"","1","loginValidationMessages","Suite Optimizada","Thu Feb 19 22:00:38 UTC 2026","skipped","Thu Feb 19 22:00:38 UTC 2026","LoginTests","Java Selenium test case","LoginTests","loginValidationMessages"
"","0","renamePlaylistFlow","Suite Optimizada","Thu Feb 19 22:00:38 UTC 2026","skipped","Thu Feb 19 22:00:38 UTC 2026","LoginTests","Java Selenium test case","LoginTests","renamePlaylistFlow"
"","0","Database-Driven Testing Dinámico","Suite Optimizada","Thu Feb 19 22:00:38 UTC 2026","skipped","Thu Feb 19 22:00:38 UTC 2026","LoginTests","Java Selenium test case","LoginTests","verifyArtistNameFromDatabase"
"","0","loginWithDeepLink","Suite Optimizada","Thu Feb 19 22:00:38 UTC 2026","skipped","Thu Feb 19 22:00:38 UTC 2026","LoginTests","Java Selenium test case","LoginTests","loginWithDeepLink"
"","22","User should be able to log out after updating email and password","Suite Optimizada","Thu Feb 19 22:00:38 UTC 2026","skipped","Thu Feb 19 22:00:38 UTC 2026","LoginTests","Java Selenium test case","LoginTests","updateProfile"
"","1","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","Suite Optimizada","Thu Feb 19 22:00:38 UTC 2026","skipped","Thu Feb 19 22:00:38 UTC 2026","LoginTests","Java Selenium test case","LoginTests","verifyInfoPanelAndNavigation"
"","5","loginValidationMessages","Suite Optimizada","Thu Feb 19 22:00:38 UTC 2026","skipped","Thu Feb 19 22:00:38 UTC 2026","LoginTests","Java Selenium test case","LoginTests","loginValidationMessages"
"","1","INTERNSHIP-108252 Koel app | Log in","Suite Optimizada","Thu Feb 19 22:00:38 UTC 2026","skipped","Thu Feb 19 22:00:38 UTC 2026","LoginTests","Java Selenium test case","LoginTests","loginwithcorrectPasswordTest"
