"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","322","loginWithDeepLink","TestNG","Thu Feb 12 20:15:46 UTC 2026","passed","Thu Feb 12 20:15:46 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","1757","User should be able to log out after updating email and password","TestNG","Thu Feb 12 20:16:01 UTC 2026","passed","Thu Feb 12 20:16:03 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","614","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Thu Feb 12 20:16:00 UTC 2026","passed","Thu Feb 12 20:16:00 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","310","loginValidationMessages","TestNG","Thu Feb 12 20:15:44 UTC 2026","passed","Thu Feb 12 20:15:45 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","355","loginValidationMessages","TestNG","Thu Feb 12 20:15:43 UTC 2026","passed","Thu Feb 12 20:15:43 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","3770","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Thu Feb 12 20:15:36 UTC 2026","passed","Thu Feb 12 20:15:40 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","10728","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Thu Feb 12 20:15:48 UTC 2026","passed","Thu Feb 12 20:15:58 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","514","INTERNSHIP-108252 Koel app | Log in","TestNG","Thu Feb 12 20:15:41 UTC 2026","passed","Thu Feb 12 20:15:41 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
