"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","508","INTERNSHIP-108252 Koel app | Log in","TestNG","Mon Feb 16 20:31:53 UTC 2026","passed","Mon Feb 16 20:31:54 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","524","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Mon Feb 16 20:32:10 UTC 2026","passed","Mon Feb 16 20:32:10 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","310","loginWithDeepLink","TestNG","Mon Feb 16 20:31:57 UTC 2026","passed","Mon Feb 16 20:31:57 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","10507","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Mon Feb 16 20:31:58 UTC 2026","passed","Mon Feb 16 20:32:09 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","1576","Database-Driven Testing Dinámico","TestNG","Mon Feb 16 20:32:13 UTC 2026","passed","Mon Feb 16 20:32:15 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyArtistNameFromDatabase"
"","3454","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Mon Feb 16 20:31:49 UTC 2026","passed","Mon Feb 16 20:31:52 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","1344","renamePlaylistFlow","TestNG","Mon Feb 16 20:32:16 UTC 2026","passed","Mon Feb 16 20:32:17 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","renamePlaylistFlow"
"","1480","User should be able to log out after updating email and password","TestNG","Mon Feb 16 20:32:11 UTC 2026","passed","Mon Feb 16 20:32:12 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","298","loginValidationMessages","TestNG","Mon Feb 16 20:31:56 UTC 2026","passed","Mon Feb 16 20:31:56 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","321","loginValidationMessages","TestNG","Mon Feb 16 20:31:55 UTC 2026","passed","Mon Feb 16 20:31:55 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
