"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3153","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Tue Feb 17 21:22:20 UTC 2026","passed","Tue Feb 17 21:22:23 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","1778","Database-Driven Testing Dinámico","TestNG","Tue Feb 17 21:22:46 UTC 2026","passed","Tue Feb 17 21:22:48 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyArtistNameFromDatabase"
"","1536","renamePlaylistFlow","TestNG","Tue Feb 17 21:22:49 UTC 2026","passed","Tue Feb 17 21:22:50 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","renamePlaylistFlow"
"","300","loginValidationMessages","TestNG","Tue Feb 17 21:22:27 UTC 2026","passed","Tue Feb 17 21:22:28 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","10597","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Tue Feb 17 21:22:30 UTC 2026","passed","Tue Feb 17 21:22:41 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","343","loginValidationMessages","TestNG","Tue Feb 17 21:22:26 UTC 2026","passed","Tue Feb 17 21:22:26 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","533","INTERNSHIP-108252 Koel app | Log in","TestNG","Tue Feb 17 21:22:24 UTC 2026","passed","Tue Feb 17 21:22:25 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","1579","User should be able to log out after updating email and password","TestNG","Tue Feb 17 21:22:43 UTC 2026","passed","Tue Feb 17 21:22:45 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","560","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Tue Feb 17 21:22:42 UTC 2026","passed","Tue Feb 17 21:22:42 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","305","loginWithDeepLink","TestNG","Tue Feb 17 21:22:29 UTC 2026","passed","Tue Feb 17 21:22:29 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
