"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","292","loginValidationMessages","TestNG","Tue Feb 17 21:19:36 UTC 2026","passed","Tue Feb 17 21:19:36 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","1477","Database-Driven Testing Dinámico","TestNG","Tue Feb 17 21:19:52 UTC 2026","passed","Tue Feb 17 21:19:54 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyArtistNameFromDatabase"
"","316","loginValidationMessages","TestNG","Tue Feb 17 21:19:35 UTC 2026","passed","Tue Feb 17 21:19:35 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","3237","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Tue Feb 17 21:19:30 UTC 2026","passed","Tue Feb 17 21:19:33 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","469","INTERNSHIP-108252 Koel app | Log in","TestNG","Tue Feb 17 21:19:34 UTC 2026","passed","Tue Feb 17 21:19:34 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","1406","User should be able to log out after updating email and password","TestNG","Tue Feb 17 21:19:50 UTC 2026","passed","Tue Feb 17 21:19:52 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","10512","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Tue Feb 17 21:19:38 UTC 2026","passed","Tue Feb 17 21:19:48 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","286","loginWithDeepLink","TestNG","Tue Feb 17 21:19:37 UTC 2026","passed","Tue Feb 17 21:19:37 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","1114","renamePlaylistFlow","TestNG","Tue Feb 17 21:19:55 UTC 2026","passed","Tue Feb 17 21:19:56 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","renamePlaylistFlow"
"","618","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Tue Feb 17 21:19:49 UTC 2026","passed","Tue Feb 17 21:19:50 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
