"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1573","User should be able to log out after updating email and password","TestNG","Mon Feb 16 20:32:26 UTC 2026","passed","Mon Feb 16 20:32:27 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","297","loginWithDeepLink","TestNG","Mon Feb 16 20:32:11 UTC 2026","passed","Mon Feb 16 20:32:12 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","1906","Database-Driven Testing Dinámico","TestNG","Mon Feb 16 20:32:28 UTC 2026","passed","Mon Feb 16 20:32:30 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyArtistNameFromDatabase"
"","552","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Mon Feb 16 20:32:24 UTC 2026","passed","Mon Feb 16 20:32:25 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","1412","renamePlaylistFlow","TestNG","Mon Feb 16 20:32:31 UTC 2026","passed","Mon Feb 16 20:32:33 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","renamePlaylistFlow"
"","449","INTERNSHIP-108252 Koel app | Log in","TestNG","Mon Feb 16 20:32:07 UTC 2026","passed","Mon Feb 16 20:32:08 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","292","loginValidationMessages","TestNG","Mon Feb 16 20:32:10 UTC 2026","passed","Mon Feb 16 20:32:10 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","10520","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Mon Feb 16 20:32:13 UTC 2026","passed","Mon Feb 16 20:32:23 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","3295","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Mon Feb 16 20:32:03 UTC 2026","passed","Mon Feb 16 20:32:06 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","376","loginValidationMessages","TestNG","Mon Feb 16 20:32:09 UTC 2026","passed","Mon Feb 16 20:32:09 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
