"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","334","loginValidationMessages","TestNG","Thu Feb 12 20:10:26 UTC 2026","passed","Thu Feb 12 20:10:26 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","10666","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Thu Feb 12 20:10:28 UTC 2026","passed","Thu Feb 12 20:10:39 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","742","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Thu Feb 12 20:10:40 UTC 2026","passed","Thu Feb 12 20:10:41 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","649","INTERNSHIP-108252 Koel app | Log in","TestNG","Thu Feb 12 20:10:22 UTC 2026","passed","Thu Feb 12 20:10:23 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","4316","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Thu Feb 12 20:10:17 UTC 2026","passed","Thu Feb 12 20:10:21 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","1648","User should be able to log out after updating email and password","TestNG","Thu Feb 12 20:10:42 UTC 2026","passed","Thu Feb 12 20:10:43 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","333","loginWithDeepLink","TestNG","Thu Feb 12 20:10:27 UTC 2026","passed","Thu Feb 12 20:10:27 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","381","loginValidationMessages","TestNG","Thu Feb 12 20:10:24 UTC 2026","passed","Thu Feb 12 20:10:24 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
