"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","468","INTERNSHIP-108252 Koel app | Log in","TestNG","Fri Feb 13 20:02:55 UTC 2026","passed","Fri Feb 13 20:02:55 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","317","loginValidationMessages","TestNG","Fri Feb 13 20:02:56 UTC 2026","passed","Fri Feb 13 20:02:56 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","10519","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Fri Feb 13 20:03:00 UTC 2026","passed","Fri Feb 13 20:03:10 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","527","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Fri Feb 13 20:03:11 UTC 2026","passed","Fri Feb 13 20:03:12 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
"","3062","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Fri Feb 13 20:02:51 UTC 2026","passed","Fri Feb 13 20:02:54 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","1525","User should be able to log out after updating email and password","TestNG","Fri Feb 13 20:03:13 UTC 2026","passed","Fri Feb 13 20:03:14 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","298","loginWithDeepLink","TestNG","Fri Feb 13 20:02:59 UTC 2026","passed","Fri Feb 13 20:02:59 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","291","loginValidationMessages","TestNG","Fri Feb 13 20:02:57 UTC 2026","passed","Fri Feb 13 20:02:58 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
